nome,cpf,idade,data,endereco,estado
Bruno Cassiano,028.475.913-97,40,1983-11-11,"viaduto valentim macedo, 2
são gonçalo
32337-600 pereira de correia / ma",CEARÁ
Emilly Lopes,907.631.824-78,57,1966-11-02,"trevo de araújo, 84
jardim atlântico
48737-986 moura / ms",ESPÍRITO SANTO
Théo Teixeira,173.986.045-48,51,1973-02-05,"lago melo, 73
solar do barreiro
73327356 ferreira de casa grande / rr",SANTA CATARINA
Yago Sá,983.024.567-56,30,1994-03-26,"praia caldeira, 8
indaiá
62365018 sá / rj",RIO GRANDE DO SUL
Henry Cirino,697.238.145-28,53,1971-06-18,"viaduto de vasconcelos, 484
álvaro camargos
79671843 nunes de montenegro / df",PERNAMBUCO
Asafe Nogueira,904.732.165-07,56,1968-07-25,"sítio cavalcante, 1
jardim atlântico
87401-166 nunes da prata / ce",CEARÁ
Luana Souza,508.391.726-21,41,1982-11-20,"quadra ana lívia vargas, 72
vila são gabriel
91282-719 nogueira / sp",MARANHÃO
Marcelo Da Cunha,302.657.894-00,43,1980-12-22,"conjunto de ferreira
conjunto santa maria
79699637 da paz / pa",RIO DE JANEIRO
Dra. Maria Eduarda Garcia,189.524.370-04,27,1996-10-21,"colônia de da cruz, 365
jardim montanhês
64212-090 costa da serra / mg",PARAÍBA
Sr. Mathias Ramos,948.627.305-74,57,1966-09-06,"largo de costela, 721
vila antena montanhês
26295-959 peixoto / ac",TOCANTINS
Théo Correia,635.401.892-89,19,2005-05-25,"morro yago cassiano, 21
manacas
96034024 borges / mg",BAHIA
Srta. Bárbara Dias,286.510.739-68,35,1989-08-04,"chácara de viana, 68
barão homem de melo 1ª seção
35443-218 lima de minas / go",SÃO PAULO
Luiz Otávio Da Cunha,249.371.065-70,39,1984-09-09,"morro costa, 72
vila paquetá
02972453 marques do oeste / es",MINAS GERAIS
Marina Ferreira,072.649.381-31,35,1989-05-06,"vila renan cavalcanti, 19
estoril
52817-788 ribeiro / go",MATO GROSSO DO SUL
Dom Casa Grande,876.204.519-94,24,1999-10-15,"lagoa de da rocha, 93
sport club
34258609 das neves do oeste / se",TOCANTINS
Luiz Otávio Araújo,184.576.039-57,23,2001-08-04,"lago diego costa, 83
nazare
14219-224 sales do campo / es",PARANÁ
Srta. Luna Almeida,720.853.649-00,42,1982-07-29,"residencial emilly casa grande, 4
novo glória
22128-927 silva / es",BAHIA
Camila Barbosa,425.901.687-30,53,1970-09-08,"conjunto de teixeira, 99
vila piratininga venda nova
31968993 marques da serra / pa",ALAGOAS
Agatha Peixoto,470.963.851-93,43,1980-09-12,"pátio benício freitas
vila coqueiral
73646-603 almeida / pe",PARANÁ
Sr. João Vitor Porto,917.643.082-04,40,1984-04-03,"sítio castro, 65
vila antena
08103857 araújo de das neves / pe",TOCANTINS
Gael Vasconcelos,150.346.892-51,57,1967-01-12,"largo de ferreira, 44
cardoso
10316626 silveira / ap",MATO GROSSO DO SUL
Ana Beatriz Peixoto,601.782.349-31,18,2006-06-19,"lago luiz fernando casa grande, 287
vila nova
84403-908 da costa / pe",PARAÍBA
Ana Liz Da Conceição,490.573.821-05,35,1989-06-13,"estação antônio sampaio
monte são josé
14648637 aparecida da mata / ma",SERGIPE
Léo Rezende,793.851.402-05,60,1963-12-02,"travessa da conceição, 17
conjunto lagoa
58211-791 monteiro / mt",RIO GRANDE DO SUL
Bento Moura,791.264.058-49,30,1994-03-01,"lagoa alice teixeira, 17
itatiaia
02184-170 vasconcelos / to",PARAÍBA
Henrique Cardoso,037.268.159-02,29,1995-07-07,Endereço não informado,Desconhecido
Vinicius Borges,254.381.706-90,20,2004-04-17,"praia da conceição, 736
cruzeiro
13044158 abreu / ac",ALAGOAS
Ana Carolina Oliveira,813.290.457-50,39,1984-10-21,"esplanada silveira, 58
tupi a
35142-228 gonçalves de monteiro / ac",DISTRITO FEDERAL
Luiz Henrique Barbosa,516.834.079-20,33,1990-09-28,"praia de almeida, 63
conjunto novo dom bosco
68223670 mendes / am",ALAGOAS
Luiz Felipe Rodrigues,894.250.736-00,48,1976-06-06,"vale de correia, 800
vila das oliveiras
89811-404 cardoso / pr",PARAÍBA
Mathias Moraes,108.746.932-50,53,1971-04-05,"praia cauã rios, 9
jardim atlântico
40965232 cirino / al",TOCANTINS
Maria Julia Borges,960.541.783-93,45,1978-09-05,"praça martins
vila jardim montanhes
17317505 dias de da rocha / ac",SANTA CATARINA
Fernando Jesus,897.054.361-93,32,1992-01-16,"praia maria flor sampaio, 51
zilah sposito
38806-285 vieira do campo / mt",AMAZONAS
Matheus Da Mata,781.926.435-73,59,1965-06-11,"jardim raul rocha, 27
são tomaz
90637-949 souza alegre / df",RONDÔNIA
Dr. Pedro Sousa,182.579.360-30,34,1990-08-10,"via antonella gomes, 7
vila califórnia
93655264 fogaça das flores / rn",SANTA CATARINA
Theodoro Casa Grande,425.316.790-06,30,1994-06-12,"quadra ana da rosa, 49
bom jesus
50739-541 araújo / pa",SÃO PAULO
Samuel Brito,378.915.620-59,26,1997-08-30,"vila valentina aragão, 88
vila cemig
74932548 fernandes do campo / se",DISTRITO FEDERAL
Davi Lucas Cunha,371.056.894-39,32,1992-06-10,"passarela luiz felipe dias, 405
palmeiras
37324127 aparecida / pe",ACRE
Nina Sousa,903.261.784-22,18,2006-07-29,"favela de sampaio
mantiqueira
86357556 moraes das flores / pa",PIAUÍ
Sra. Manuela Das Neves,956.710.384-48,60,1963-09-21,"estrada de pereira, 4
olaria
76986-747 da conceição do amparo / ms",ESPÍRITO SANTO
Sra. Natália Da Mota,139.078.246-87,24,2000-05-14,"colônia kaique silveira, 81
sion
97631879 pacheco / ac",MATO GROSSO
Eloá Lopes,187.652.409-01,47,1977-07-13,"trecho de fogaça, 55
maria goretti
85263843 abreu de cardoso / ma",GOIÁS
Dra. Lara Câmara,275.386.410-17,32,1991-09-01,"parque rebeca campos, 243
cenaculo
48397027 cassiano do campo / pe",ACRE
Dra. Vitória Casa Grande,726.593.018-59,58,1966-01-30,"sítio de da rocha, 2
nossa senhora aparecida
84027-507 da rosa / mt",DISTRITO FEDERAL
Josué Farias,032.687.951-02,56,1967-11-25,"fazenda maria julia garcia, 63
confisco
39692847 azevedo / al",PIAUÍ
Laura Jesus,874.306.921-50,37,1987-06-11,"estrada silva, 52
monte azul
40864223 pires / sc",CEARÁ
Maria Vitória Da Cunha,126.547.380-35,58,1966-03-18,"área de andrade, 4
lorena
44495816 melo de minas / es",MARANHÃO
João Lucas Sales,654.731.098-10,44,1980-02-10,"chácara isaque viana
vila novo são lucas
47611-092 abreu do sul / pi",BAHIA
Ester Da Cruz,562.048.731-80,31,1993-04-04,"viela moraes, 1
conjunto santa maria
77547-894 moraes das pedras / rn",CEARÁ
Lavínia Borges,019.473.265-70,47,1977-03-14,"fazenda de aparecida, 49
vila piratininga
24026370 carvalho / ma",SÃO PAULO
Josué Câmara,052.896.143-89,41,1982-11-27,"estação de pinto, 918
esplanada
50199180 guerra do oeste / go",GOIÁS
Manuella Araújo,038.452.179-79,23,2000-08-17,"vereda borges, 52
vila são francisco
54359332 barbosa de fogaça / sc",AMAPÁ
Luan Melo,712.630.598-21,59,1964-11-02,"praia de aparecida, 771
lagoa
00979-802 casa grande / ms",SERGIPE
Maria Eduarda Pinto,450.718.623-44,18,2005-11-23,"vila novaes, 73
maria tereza
63981-728 sá / rj",MINAS GERAIS
Maitê Cavalcanti,824.309.651-51,21,2002-10-30,"esplanada de ribeiro, 78
caiçara - adelaide
33282110 ribeiro / ro",RIO DE JANEIRO
Dr. Davi Pacheco,485.103.792-97,56,1968-02-04,"viaduto mendes, 981
vila da ária
98412-590 silva de minas / pa",DISTRITO FEDERAL
Dr. Luigi Campos,064.518.972-30,19,2005-07-04,"aeroporto vargas, 97
engenho nogueira
26256761 costela / am",ALAGOAS
Murilo Azevedo,210.875.469-58,60,1964-07-26,"recanto silveira
jaqueline
26938-355 da costa de minas / rj",PARÁ
Jade Caldeira,325.718.690-86,41,1983-04-16,"trecho lunna lopes, 65
milionario
72397566 garcia paulista / sp",BAHIA
Lucca Duarte,625.790.134-07,35,1988-10-24,"condomínio de cavalcanti, 39
vila coqueiral
44580045 montenegro / pe",RORAIMA
Manuela Carvalho,527.910.384-50,37,1987-03-29,"ladeira de da paz, 19
jatobá
76959-610 da cruz das pedras / ce",MARANHÃO
Srta. Joana Vasconcelos,593.162.804-51,27,1997-01-16,"colônia pimenta, 9
cabana do pai tomás
88405065 costa / rj",ESPÍRITO SANTO
Dr. Rafael Rodrigues,835.641.902-60,41,1983-08-08,"núcleo garcia, 144
confisco
63525667 cunha de lopes / sc",CEARÁ
Ágatha Oliveira,683.924.705-83,45,1979-04-23,"via de gomes, 31
coração de jesus
74516773 cavalcanti / ce",PARAÍBA
Ana Cecília Vieira,417.263.985-28,58,1965-11-30,"condomínio de silva, 45
vila canto do sabiá
60619945 rodrigues / sp",MATO GROSSO DO SUL
Jade Vargas,026.984.573-92,36,1987-12-29,"vale de correia, 37
guarani
89803136 montenegro / se",RIO GRANDE DO NORTE
Júlia Guerra,978.126.350-40,52,1971-10-04,"estrada de novais, 154
vila da amizade
73618048 rios / mg",RORAIMA
Dr. Lucca Da Rocha,452.730.618-90,50,1974-04-06,"rodovia luiz miguel pimenta, 27
vila nova dos milionarios
86391-392 moreira de vargas / ro",PIAUÍ
Dr. Cauê Martins,085.217.436-53,47,1977-02-09,"trevo de rios, 860
vila antena montanhês
18993-770 vasconcelos dos dourados / go",MINAS GERAIS
Maria Rodrigues,417.059.863-66,57,1967-05-06,"vila arthur gabriel mendonça, 40
caetano furquim
51107605 souza do oeste / mg",MARANHÃO
Ágatha Pimenta,547.862.930-83,54,1970-03-10,"recanto de macedo, 73
vila puc
69399-842 andrade / rr",SANTA CATARINA
Dr. Mateus Teixeira,463.597.281-09,54,1970-05-05,"lago antony abreu, 88
vila minaslandia
72172-172 ferreira grande / se",RIO DE JANEIRO
Rodrigo Sales,389.124.650-15,58,1966-06-02,"setor de novaes, 39
virgínia
79816206 novaes do amparo / ba",MATO GROSSO DO SUL
Maya Ramos,962.357.081-30,60,1964-07-25,"avenida fernandes
vila antena
15704937 azevedo de nunes / es",CEARÁ
Matteo Silveira,523.401.786-90,53,1971-05-26,"jardim breno nunes, 92
nova suíça
12784-228 porto do campo / ma",TOCANTINS
Brenda Da Cunha,402.697.518-58,55,1969-06-27,"via de alves
jardim leblon
38305-893 mendonça / al",MINAS GERAIS
Gabriela Da Costa,372.854.601-17,37,1986-09-01,"travessa novais, 60
vila aeroporto
04558875 moraes / am",SERGIPE
Vinícius Sampaio,398.570.612-30,54,1970-07-30,"estrada guerra, 1
maria virgínia
36860-868 viana / ap",DISTRITO FEDERAL
Rhavi Rezende,967.510.428-76,36,1988-06-09,"praça mariana teixeira, 109
bacurau
29734859 azevedo / ro",RONDÔNIA
Aurora Gonçalves,061.397.258-95,38,1985-10-09,"lago borges
tupi a
24663964 vasconcelos / rs",GOIÁS
Esther Ribeiro,681.032.954-42,36,1988-04-22,"alameda oliver mendonça, 20
vila união
53112161 fogaça / go",RONDÔNIA
Sara Cavalcante,850.632.749-00,20,2004-04-16,"praia mateus da rocha
conjunto lagoa
51614542 machado paulista / rs",SÃO PAULO
Marcos Vinicius Araújo,761.538.029-40,38,1986-02-25,"praia viana, 13
monte azul
99848-745 pacheco / go",RIO GRANDE DO SUL
Lara Fonseca,635.802.941-05,31,1993-01-16,"trecho da mota
palmares
77299-196 ramos / pr",RONDÔNIA
Sr. Calebe Rezende,485.609.312-60,33,1991-07-24,"conjunto das neves, 77
vila santa monica 2ª seção
61807691 garcia do norte / al",RORAIMA
Ana Júlia Brito,428.109.536-51,29,1994-11-05,"vale de correia, 9
fernão dias
06027-538 alves / pr",SÃO PAULO
Maria Luiza Pastor,367.082.415-44,40,1984-05-26,"rodovia da paz, 15
itapoa
92416-573 ribeiro / ce",PARANÁ
Asafe Peixoto,816.507.342-71,26,1997-12-12,"loteamento de abreu, 22
barreiro
43029168 farias / mg",PARÁ
Sra. Ana Beatriz Caldeira,241.965.703-99,48,1975-12-10,"travessa benjamin rezende, 12
santa amelia
59875308 sousa / rs",DISTRITO FEDERAL
Melissa Novais,638.714.592-91,19,2005-06-15,"via henrique ramos
santa branca
23357-339 brito de goiás / rs",ALAGOAS
Dr. Paulo Cirino,714.596.380-93,23,2001-05-29,"esplanada fonseca, 84
vila aeroporto jaraguá
93018-108 novaes / ba",PARAÍBA
Mariana Oliveira,305.491.786-00,25,1999-06-30,"setor barbosa
santa helena
83641-703 costa / ac",AMAZONAS
Ian Jesus,359.610.748-20,30,1993-11-02,"campo de da mata, 82
jardim alvorada
32241834 martins / mt",CEARÁ
Sra. Ana Júlia Moreira,534.082.719-41,51,1973-06-30,"vila cardoso, 89
barão homem de melo 2ª seção
92760833 lopes de teixeira / pi",BAHIA
Antonella Cunha,845.730.196-93,33,1991-07-31,"viela silveira
conjunto minas caixa
66620-995 aragão / pi",RONDÔNIA
Ana Julia Rodrigues,082.374.569-47,38,1985-09-11,"jardim joão guilherme abreu, 1
vila piratininga
88203-995 da mota / es",PIAUÍ
João Gabriel Cassiano,194.705.682-49,49,1974-10-08,"quadra rafaela da conceição, 66
vila real 1ª seção
01312270 da mata da prata / ro",PARAÍBA
Sr. Brayan Rodrigues,582.091.374-41,31,1993-08-06,Endereço não informado,Desconhecido
Théo Azevedo,587.416.029-94,47,1977-01-13,"estrada de moraes, 180
graça
58882-961 teixeira das pedras / ro",RIO DE JANEIRO
Ágatha Aragão,106.349.527-06,27,1997-06-13,"residencial eduarda barros, 85
xangri-lá
80130-088 santos / ms",PERNAMBUCO
Apollo Costa,389.546.201-24,18,2006-07-04,"praia leão, 31
nova cachoeirinha
65920416 fogaça de macedo / mg",MATO GROSSO
Eloah Macedo,710.594.286-01,32,1992-04-07,"lagoa de mendonça, 79
conjunto providencia
61241497 da rocha das flores / sp",ALAGOAS
Ana Laura Araújo,524.380.716-80,57,1966-09-10,"quadra de martins, 18
vila pilar
40981-982 monteiro do oeste / sp",PARAÍBA
Sophia Lopes,715.649.203-99,30,1994-05-03,"núcleo de moraes, 32
são jorge 2ª seção
49835892 pacheco do amparo / ro",ALAGOAS
Dr. Luiz Henrique Leão,461.820.937-22,40,1984-03-17,"lagoa porto, 51
saudade
81494-892 oliveira das flores / pr",MINAS GERAIS
Dr. Benicio Barros,594.810.763-93,59,1965-02-04,"vale nunes, 764
vila copasa
74075776 gonçalves de lopes / es",CEARÁ
Henry Sales,531.908.247-97,53,1970-09-18,"vale cauã ramos, 66
santa tereza
16741-739 novaes / ap",SERGIPE
Amanda Teixeira,537.214.089-50,54,1970-08-05,"campo de camargo, 855
saudade
63038443 carvalho / rs",MATO GROSSO DO SUL
Lorena Campos,520.197.634-43,38,1986-03-04,"esplanada de alves
caiçaras
40186-180 cassiano da prata / pb",AMAPÁ
João Felipe Ribeiro,524.713.809-05,25,1999-03-22,"estação fernandes, 22
vila dos anjos
76151252 borges de rocha / ma",RIO GRANDE DO SUL
Thomas Fonseca,425.867.193-28,31,1993-07-16,"ladeira da mota, 16
ápia
93065530 viana / ap",MATO GROSSO DO SUL
Gael Henrique Da Rocha,836.740.519-66,28,1995-08-20,"via de pires
conjunto providencia
83308-528 freitas de souza / ce",ESPÍRITO SANTO
Ana Carolina Costela,201.953.478-97,20,2004-02-19,"rodovia heloísa aparecida, 5
independência
12874542 vargas / ap",PERNAMBUCO
Mateus Pires,739.806.542-65,54,1969-10-03,"largo de abreu, 90
são joão
59132-600 machado de duarte / mg",BAHIA
Oliver Da Conceição,936.217.450-25,59,1965-04-24,"feira mariah machado
castelo
40413-186 da conceição / sc",ACRE
Ana Cecília Da Rosa,269.405.873-65,38,1986-01-16,"feira castro, 929
vila real 1ª seção
89419-320 brito / rj",DISTRITO FEDERAL
Ana Sophia Sales,427.893.561-73,26,1998-04-05,"vereda de rezende, 109
barão homem de melo 3ª seção
96083-945 leão / ac",RORAIMA
Pedro Garcia,642.538.910-98,54,1969-10-25,"núcleo sales, 71
vila do pombal
50530139 nunes / rs",PERNAMBUCO
Daniel Borges,984.307.265-00,27,1997-07-28,"chácara de fernandes, 19
conjunto jatoba
56125743 mendonça / pe",AMAPÁ
Oliver Pereira,057.298.463-47,36,1988-02-25,"distrito de aragão, 73
santa cruz
61077613 mendes do oeste / mt",MARANHÃO
Sra. Ana Liz Ramos,701.953.648-48,35,1989-03-14,"via elisa siqueira, 2
buritis
66613601 siqueira / se",SÃO PAULO
Maria Eduarda Camargo,580.369.741-93,28,1996-07-07,"trevo de da luz, 647
santa margarida
95804-412 marques da serra / sp",DISTRITO FEDERAL
Sr. Daniel Mendonça,130.964.285-06,22,2001-10-27,"colônia maria clara cirino, 5
maria helena
16062-016 teixeira / pa",MINAS GERAIS
Srta. Maria Luísa Montenegro,136.082.574-62,22,2002-03-31,"rodovia ravy novaes, 63
conjunto lagoa
11934-338 casa grande / rn",CEARÁ
Milena Almeida,091.562.783-30,39,1985-04-01,"trevo ana julia da paz, 1
bom jesus
83031-740 camargo / sc",SERGIPE
Dr. Brayan Pacheco,389.125.046-06,52,1972-01-03,"distrito mendes, 7
vila canto do sabiá
18031-468 freitas alegre / ba",MARANHÃO
Elisa Costa,904.657.183-10,54,1969-11-02,"distrito de montenegro, 90
boa união 1ª seção
41601-365 ferreira de da cunha / go",RORAIMA
Nathan Viana,635.784.120-07,60,1963-10-08,"travessa danilo barbosa, 57
vila jardim montanhes
79531-897 pastor / pr",AMAPÁ
Emilly Novaes,360.725.981-02,19,2004-12-28,"avenida marques, 245
nova gameleira
37318727 camargo / pi",MATO GROSSO
Maitê Da Mota,456.138.920-24,47,1977-07-17,"largo ferreira, 71
beira linha
34299891 casa grande / mg",BAHIA
Theo Guerra,076.319.285-68,19,2005-01-29,"vale théo santos, 38
santa rita de cássia
81648532 leão do amparo / sc",PARÁ
Ana Luiza Alves,487.920.315-79,39,1985-05-08,"colônia marina vieira, 27
boa vista
51248816 da paz / es",RIO GRANDE DO SUL
Giovanna Mendes,265.318.904-60,42,1981-11-14,"largo ramos, 73
antonio ribeiro de abreu 1ª seção
64503-747 araújo / am",SÃO PAULO
Ian Cassiano,180.625.479-49,43,1980-11-08,"lago da rosa
buraco quente
32642097 jesus de moreira / mg",SERGIPE
Bruno Vieira,843.612.590-89,41,1983-01-02,"estrada de moraes
vila são gabriel jacui
68179006 moura do amparo / ms",MARANHÃO
Srta. Maria Eduarda Da Costa,738.641.095-66,20,2003-11-12,"alameda de da mata, 490
comiteco
61195-258 aragão / ce",TOCANTINS
Alice Da Costa,385.210.749-05,42,1982-05-12,"rodovia de câmara, 84
jardim do vale
54370-494 jesus / to",RIO GRANDE DO NORTE
Apollo Castro,813.279.046-40,28,1995-09-24,"jardim isadora vasconcelos, 40
vila primeiro de maio
27540-516 marques / ma",MINAS GERAIS
Maya Pastor,279.415.836-82,28,1996-02-19,"área machado, 37
nova cachoeirinha
50764-542 fonseca de da paz / al",PARÁ
Lucas Gabriel Cardoso,498.360.572-00,53,1970-10-24,"setor otto moura, 53
nova pampulha
43388-488 caldeira / rj",BAHIA
Carolina Rezende,328.046.597-47,39,1985-06-06,"condomínio nogueira, 931
barão homem de melo 1ª seção
17359-871 macedo / ro",CEARÁ
Fernando Alves,471.039.826-78,22,2001-08-25,"ladeira gael garcia, 716
vila paquetá
00373-292 oliveira de lima / pe",DISTRITO FEDERAL
Hadassa Castro,631.750.482-26,47,1977-05-18,"trecho garcia, 85
jardim américa
15082-527 teixeira / rj",TOCANTINS
Laura Ribeiro,179.205.863-21,26,1998-04-29,"vila murilo campos, 284
vila são joão batista
97165-805 pastor da mata / ro",CEARÁ
Maria Luísa Sá,476.358.921-00,56,1967-12-02,"chácara de ferreira, 53
vila santo antônio barroquinha
85813741 rodrigues / to",RIO GRANDE DO NORTE
Kaique Correia,345.761.982-46,21,2002-10-14,"rua catarina novais, 99
pousada santo antonio
04261380 jesus / mg",PARÁ
Guilherme Viana,683.795.140-84,18,2006-03-07,"avenida fonseca, 1
vila da paz
47857-666 nascimento da prata / pa",MATO GROSSO DO SUL
Rebeca Cavalcanti,891.456.723-00,22,2002-01-28,"colônia guerra
aguas claras
83908-034 costa paulista / ro",PIAUÍ
Kamilly Costa,345.729.608-10,21,2003-07-06,"campo cunha, 98
nossa senhora da aparecida
77469828 da rosa / ap",SÃO PAULO
Luiz Fernando Da Costa,834.905.167-10,42,1981-09-17,"favela vargas, 39
cônego pinheiro 2ª seção
95276317 casa grande / mt",PIAUÍ
Isaque Ramos,562.378.491-73,24,2000-06-07,"passarela maria cecília novaes, 53
são joão
92117809 da rocha / se",ALAGOAS
Dra. Lara Silveira,401.263.857-26,32,1991-12-08,"área de rezende, 60
maria goretti
45444713 albuquerque / ms",CEARÁ
Rebeca Da Paz,057.648.921-20,21,2003-02-21,"rodovia alana sá, 70
flamengo
24250-589 da mata do galho / ce",PIAUÍ
Maria Liz Almeida,941.360.728-13,25,1999-05-07,"loteamento luiz fernando ferreira
alpes
48570-713 porto de costela / se",ALAGOAS
Yasmin Ramos,162.307.845-80,55,1968-11-15,"condomínio kamilly souza, 3
flavio de oliveira
01442-945 ramos do campo / rs",MATO GROSSO DO SUL
Mariah Da Rocha,960.584.371-48,31,1993-05-22,"trevo kaique machado, 89
vila primeiro de maio
69149-709 montenegro / ap",MINAS GERAIS
Dra. Elisa Nogueira,430.268.517-44,27,1997-06-02,"campo moraes, 35
boa união 2ª seção
72069981 siqueira / pi",RONDÔNIA
Miguel Porto,269.748.350-00,29,1994-09-26,"pátio kaique araújo, 5
vila da ária
20144-999 silveira / rn",SÃO PAULO
Elisa Nunes,045.739.168-57,35,1989-01-09,"largo de barbosa, 61
planalto
89893666 barros / ms",CEARÁ
Sra. Larissa Da Luz,945.810.326-60,52,1972-01-09,"setor daniel carvalho, 718
são luiz
97381576 vasconcelos / sp",RONDÔNIA
Apollo Rios,732.648.015-07,41,1982-12-18,"fazenda joão pedro da rosa, 2
dom silverio
34390-669 fogaça / sc",PARAÍBA
Luísa Freitas,916.347.285-64,46,1978-04-18,"ladeira lorena nogueira, 182
vila de sá
44792-956 azevedo / df",SANTA CATARINA
Fernando Da Rosa,213.598.064-15,58,1966-05-26,"avenida marques, 42
conjunto jardim filadélfia
17033442 costa do amparo / ma",MARANHÃO
Maria Fernanda Barbosa,807.541.326-17,26,1998-05-04,"área de pimenta
rio branco
29284709 da rosa da praia / pe",RIO DE JANEIRO
Theodoro Montenegro,642.905.317-25,25,1998-10-24,"passarela de das neves, 30
conjunto serra verde
04028247 sales / rn",PIAUÍ
Levi Montenegro,734.085.129-14,38,1986-02-23,"condomínio de sales, 92
nova america
43186-290 leão de cavalcante / sp",SANTA CATARINA
Dr. Erick Da Mota,269.704.835-92,40,1983-12-17,"lagoa de freitas, 72
vila pilar
06085679 vasconcelos do galho / go",RORAIMA
Eduarda Teixeira,346.198.275-09,42,1982-01-17,"ladeira elisa vargas, 660
vila sesc
04758-360 araújo das pedras / rj",PIAUÍ
Sra. Elisa Pacheco,732.849.056-00,59,1965-02-02,Endereço não informado,Desconhecido
Anthony Moraes,014.937.586-75,19,2005-05-12,"trecho nunes, 2
glória
39695742 araújo / ce",RIO DE JANEIRO
Matheus Novaes,570.894.362-92,18,2005-10-22,"viaduto ana sophia freitas, 470
santa amelia
03056-321 cavalcanti / ce",SANTA CATARINA
Benjamim Teixeira,724.069.153-52,33,1991-05-16,"travessa lorena nogueira, 575
cdi jatoba
09076-252 garcia / am",PIAUÍ
Pietra Vasconcelos,063.429.715-52,19,2005-07-30,"favela de correia, 5
tupi b
63807104 mendonça / al",MARANHÃO
Melina Ramos,678.532.014-35,54,1969-09-15,"fazenda luna ramos, 82
são pedro
45302915 brito da prata / rr",DISTRITO FEDERAL
Antonella Campos,846.105.732-53,34,1990-03-21,"área de rios, 6
vila da ária
99389-225 borges do norte / se",MATO GROSSO DO SUL
Valentina Novais,160.953.748-39,49,1975-02-20,"distrito lorenzo andrade, 2
flavio de oliveira
93528119 gomes de araújo / ce",MATO GROSSO
Yuri Câmara,741.306.892-31,20,2004-07-28,"estrada felipe das neves, 37
funcionários
62822490 gonçalves / ma",AMAPÁ
Dra. Lunna Ferreira,386.924.705-38,41,1982-09-30,"avenida anthony pires, 80
são joão batista
10714-482 andrade / pa",TOCANTINS
Bruna Dias,985.341.706-57,30,1993-10-15,"condomínio de montenegro, 7
planalto
67278-692 caldeira / mg",PIAUÍ
Dr. Noah Jesus,872.043.695-56,32,1992-04-27,"trevo juan silveira, 94
vila santa monica 2ª seção
81097-408 sá do amparo / ms",PERNAMBUCO
Maria Fernanda Da Rocha,529.063.178-02,29,1995-02-26,"travessa fernanda oliveira, 25
araguaia
46324-997 da luz do amparo / se",DISTRITO FEDERAL
Dra. Lunna Rodrigues,069.827.354-00,39,1985-03-25,"rua fogaça, 5
palmares
46241-611 mendonça de goiás / pa",PIAUÍ
Vinicius Silveira,081.596.327-03,56,1968-07-20,"feira de cassiano, 6
granja de freitas
21479-698 ribeiro / pe",ACRE
Sr. Miguel Montenegro,958.236.014-33,25,1999-01-04,"loteamento oliveira, 24
floramar
15438-332 machado / mt",AMAZONAS
Maria Ferreira,602.793.458-10,38,1986-03-09,"vereda de rios, 241
rio branco
99380-657 fogaça do sul / ap",BAHIA
Ana Ribeiro,201.593.864-89,21,2003-07-11,"vale de brito, 369
barreiro
18881732 campos de da cruz / pa",ACRE
Enzo Marques,735.624.981-28,47,1977-05-05,"rodovia camargo, 568
marajó
96906547 martins / es",RIO GRANDE DO SUL
Sra. Juliana Martins,572.380.694-74,48,1976-01-07,"chácara de fonseca, 210
varzea da palma
74497914 rios alegre / rn",ALAGOAS
Nina Da Rocha,538.927.061-40,44,1980-04-25,"via de das neves, 4
barro preto
83044-244 abreu / ma",MATO GROSSO
Raul Pires,970.243.156-52,54,1969-10-28,"lago cirino, 993
nova america
46092964 aragão de novaes / mt",MATO GROSSO
Maria Eduarda Rios,713.496.502-34,36,1987-09-14,"vereda borges, 64
são cristóvão
37020456 nunes / df",RIO DE JANEIRO
Diego Cunha,284.531.067-62,54,1969-12-21,"área de barbosa, 68
vila rica
38709486 teixeira / rr",RIO GRANDE DO NORTE
Alícia Siqueira,137.645.982-55,29,1995-02-19,"lago mendonça, 35
rio branco
09502-569 da rosa / to",MARANHÃO
Anna Liz Dias,985.204.371-41,37,1986-10-12,"fazenda hellena cirino, 84
são geraldo
76061-783 da rosa / pb",ALAGOAS
Mateus Novais,791.230.458-41,31,1993-01-04,"jardim hadassa ferreira, 371
vila ouro minas
87625796 sá de goiás / se",MATO GROSSO
Miguel Cunha,435.196.720-06,31,1992-10-31,"praia nogueira, 127
são salvador
95327-338 araújo de minas / pa",SANTA CATARINA
Lívia Ramos,536.710.498-39,23,2000-09-28,"vila nina cunha, 104
vila são gabriel jacui
03974-330 barros de martins / rj",ESPÍRITO SANTO
Emanuella Borges,142.635.089-98,24,2000-06-27,"conjunto de da mota, 27
são gabriel
00715-366 montenegro / ac",SERGIPE
Ester Fernandes,286.573.091-30,40,1984-02-08,"rua monteiro, 10
santa branca
28616734 campos de borges / ce",ESPÍRITO SANTO
Enzo Gabriel Castro,924.581.076-30,35,1988-10-26,"feira bento farias, 5
garças
74022-786 viana / mg",PERNAMBUCO
Dr. Dom Nogueira,291.406.578-76,23,2001-04-24,"colônia bella gomes, 707
santa rita de cássia
84786998 mendonça / al",RONDÔNIA
Ravi Lima,536.218.940-98,50,1974-06-13,"estação costa
rio branco
83382-081 almeida das flores / rr",GOIÁS
Cecília Da Luz,789.605.324-10,46,1977-08-18,"área duarte
são bento
07973263 macedo da praia / rr",RIO GRANDE DO SUL
